lsoa_code,msoa_code,ward_code,local_authority_code
E01014488,E02006949,E05010885,E06000023
E01014693,E02003013,E05010901,E06000023
E01033909,E02006952,E05010892,E06000023
E01033903,E02006887,E05010892,E06000023
E01032514,E02003064,E05010900,E06000023
E01014519,E02003057,E05010889,E06000023
E01014492,E02003019,E05010886,E06000023
E01014696,E02003047,E05010914,E06000023
E01014566,E02003040,E05010896,E06000023
E01033367,E02003036,E05010892,E06000023
E01014717,E02003020,E05010917,E06000023
E01014667,E02003028,E05010909,E06000023
E01014583,E02003055,E05010898,E06000023
E01014510,E02003021,E05010888,E06000023
E01014533,E02003054,E05010891,E06000023
E01033358,E02006887,E05010907,E06000023
E01014641,E02003018,E05010886,E06000023
E01014577,E02003023,E05010897,E06000023
E01014690,E02003013,E05010913,E06000023
E01014647,E02003055,E05010906,E06000023
E01032517,E02003012,E05010901,E06000023
E01014522,E02003061,E05010889,E06000023
E01014720,E02003017,E05010913,E06000023
E01014700,E02003047,E05010914,E06000023
E01014594,E02003059,E05010900,E06000023
E01014654,E02006889,E05010907,E06000023
E01014557,E02003033,E05010895,E06000023
E01014708,E02003060,E05010915,E06000023
E01033359,E02003050,E05010914,E06000023
E01014486,E02006949,E05010885,E06000023
E01014578,E02003055,E05010898,E06000023
E01014671,E02003031,E05010885,E06000023
E01014517,E02003061,E05010900,E06000023
E01014617,E02003022,E05010917,E06000023
E01014723,E02003063,E05010902,E06000023
E01014489,E02006950,E05010885,E06000023
E01014601,E02003012,E05010901,E06000023
E01014703,E02003060,E05010915,E06000023
E01014715,E02003020,E05010917,E06000023
E01014659,E02003016,E05010908,E06000023
E01014531,E02003046,E05010891,E06000023
E01014537,E02003046,E05010891,E06000023
E01014575,E02003030,E05010897,E06000023
E01032515,E02003064,E05010902,E06000023
E01014598,E02003059,E05010889,E06000023
E01014493,E02003019,E05010886,E06000023
E01014645,E02003053,E05010906,E06000023
E01014668,E02003031,E05010909,E06000023
E01014712,E02003026,E05010916,E06000023
E01014605,E02003012,E05010901,E06000023
E01014590,E02003024,E05010899,E06000023
E01014732,E02003048,E05010918,E06000023
E01033905,E02006951,E05010892,E06000023
E01014621,E02003028,E05010917,E06000023
E01014544,E02003041,E05010893,E06000023
E01014615,E02003022,E05010917,E06000023
E01014587,E02003023,E05010899,E06000023
E01014523,E02003049,E05010890,E06000023
E01033902,E02006887,E05010892,E06000023
E01014643,E02003018,E05010916,E06000023
E01014567,E02003040,E05010896,E06000023
E01014698,E02003047,E05010914,E06000023
E01014666,E02003028,E05010909,E06000023
E01014553,E02003037,E05010894,E06000023
E01014710,E02003026,E05010916,E06000023
E01014638,E02003014,E05010886,E06000023
E01014515,E02003061,E05010900,E06000023
E01014582,E02003056,E05010898,E06000023
E01014632,E02003015,E05010904,E06000023
E01014521,E02003057,E05010889,E06000023
E01014675,E02003038,E05010910,E06000023
E01014719,E02003017,E05010917,E06000023
E01014669,E02003031,E05010909,E06000023
E01014713,E02003026,E05010916,E06000023
E01014500,E02003050,E05010889,E06000023
E01014610,E02003058,E05010902,E06000023
E01033361,E02003050,E05010914,E06000023
E01014635,E02003021,E05010904,E06000023
E01014585,E02003055,E05010906,E06000023
E01014535,E02003054,E05010891,E06000023
E01014579,E02003056,E05010898,E06000023
E01014497,E02003014,E05010886,E06000023
E01032519,E02003029,E05010903,E06000023
E01014695,E02003047,E05010914,E06000023
E01014672,E02003028,E05010909,E06000023
E01014602,E02003012,E05010901,E06000023
E01014491,E02003031,E05010885,E06000023
E01033366,E02006950,E05010885,E06000023
E01014611,E02003063,E05010902,E06000023
E01033362,E02003050,E05010887,E06000023
E01014507,E02003027,E05010888,E06000023
E01014563,E02003036,E05010895,E06000023
E01014513,E02003027,E05010909,E06000023
E01014530,E02003046,E05010890,E06000023
E01014687,E02003039,E05010910,E06000023
E01014580,E02003056,E05010898,E06000023
E01014644,E02003018,E05010916,E06000023
E01014546,E02003041,E05010893,E06000023
E01014554,E02003037,E05010893,E06000023
E01014603,E02003012,E05010901,E06000023
E01033347,E02006950,E05010885,E06000023
E01014622,E02003032,E05010903,E06000023
E01014495,E02003019,E05010886,E06000023
E01014600,E02003059,E05010900,E06000023
E01014664,E02003025,E05010908,E06000023
E01014608,E02003058,E05010902,E06000023
E01014662,E02003021,E05010908,E06000023
E01014636,E02003015,E05010904,E06000023
E01014534,E02003054,E05010891,E06000023
E01033348,E02006950,E05010885,E06000023
E01014627,E02003032,E05010903,E06000023
E01033907,E02006952,E05010892,E06000023
E01014679,E02003044,E05010911,E06000023
E01014685,E02003039,E05010910,E06000023
E01032518,E02003029,E05010903,E06000023
E01033342,E02003036,E05010892,E06000023
E01014694,E02003013,E05010913,E06000023
E01014665,E02003025,E05010908,E06000023
E01014505,E02003052,E05010887,E06000023
E01014508,E02003027,E05010888,E06000023
E01033353,E02006887,E05010907,E06000023
E01014514,E02003027,E05010888,E06000023
E01014731,E02003048,E05010918,E06000023
E01014682,E02003039,E05010910,E06000023
E01033904,E02006951,E05010892,E06000023
E01014727,E02003064,E05010900,E06000023
E01014620,E02003022,E05010917,E06000023
E01014614,E02003058,E05010902,E06000023
E01014584,E02003056,E05010898,E06000023
E01014509,E02003027,E05010888,E06000023
E01014609,E02003058,E05010902,E06000023
E01014640,E02003014,E05010886,E06000023
E01014689,E02003013,E05010913,E06000023
E01014634,E02003016,E05010904,E06000023
E01014526,E02003049,E05010890,E06000023
E01032516,E02003012,E05010901,E06000023
E01014550,E02003045,E05010905,E06000023
E01014677,E02003044,E05010911,E06000023
